,uid,date,name,classification,class_primary,class_secondary,group,category,class_code,description,level,level_2,level_3,level_4,level_5,size
469,8986835,20150324,Growth process for gallium nitride porous nanorods,H01L 21/20,H01L,21/20,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
470,8986920,20150324,,H01L 21/31144,H01L,21/31144,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
471,8987006,20150324,Method and system for providing a magnetic junction having an engineered barrier layer,H01L 27/222,H01L,27/222,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
472,8987011,20150324,Method for determining the structure of a transistor,H01L 29/66431,H01L,29/66431,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
473,8987012,20150324,Method of testing a semiconductor package,H01L 22/14,H01L,22/14,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
474,8987013,20150324,Method of inspecting misalignment of polysilicon gate,H01L 22/12,H01L,22/12,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
475,8987014,20150324,Semiconductor wafer and method of forming sacrificial bump pad for wafer probing during wafer sort test,H01L 22/32,H01L,22/32,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
476,8987016,20150324,,H01L 33/06,H01L,33/06,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
477,8987018,20150324,,H01L 21/67121,H01L,21/67121,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
478,8987019,20150324,,H01L 2251/5338,H01L,2251/5338,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
479,8987022,20150324,,H01L 51/50,H01L,51/50,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
480,8987023,20150324,Light emitting device and manufacturing method thereof,H01L 33/50,H01L,33/50,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
481,8987027,20150324,Two doping regions in lightly doped drain for thin film transistors and associated doping processes,H01L 29/78621,H01L,29/78621,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
482,8987033,20150324,Method for forming CMOS image sensors,H01L 31/145,H01L,31/145,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
483,8987034,20150324,Backside illumination CMOS image sensor and method of manufacturing the same,H01L 27/14636,H01L,27/14636,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
484,8987036,20150324,Solar battery module and solar battery array,H01L 31/18,H01L,31/18,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
485,8987037,20150324,Methods of manufacturing a solar cell,H01L 31/022425,H01L,31/022425,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
486,8987040,20150324,Manufacturing means and process,H01L 31/18,H01L,31/18,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
487,8987041,20150324,,H01L 27/14689,H01L,27/14689,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
488,8987042,20150324,,H01L 31/022425,H01L,31/022425,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
489,8987043,20150324,Organic light emitting diode display and method for manufacturing organic light emitting diode display,H01L 51/5246,H01L,51/5246,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
490,8987047,20150324,,H01L 29/78696,H01L,29/78696,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
491,8987048,20150324,Semiconductor device and method for manufacturing semiconductor device,H01L 27/124,H01L,27/124,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
492,8987049,20150324,,H01L 29/786,H01L,29/786,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
493,8987051,20150324,Thermally enhanced semiconductor package with conductive clip,H01L 23/3735,H01L,23/3735,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
494,8987052,20150324,Attachment of microelectronic components,H01L 2224/81359,H01L,2224/81359,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
495,8987054,20150324,Semiconductor devices and methods of making the same,H01L 21/486,H01L,21/486,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
496,8987058,20150324,Method for wafer separation,H01L 21/78,H01L,21/78,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
497,8987059,20150324,MEMS devices and methods of forming same,H01L 2924/00,H01L,2924/00,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
498,8987062,20150324,Active thermal control for stacked IC devices,H01L 23/38,H01L,23/38,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
499,8987063,20150324,Manufacturing method of semiconductor device,H01L 24/97,H01L,24/97,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
500,8987065,20150324,Forming functionalized carrier structures with coreless packages,H01L 23/14,H01L,23/14,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
501,8987066,20150324,Processing unit comprising integrated circuits including a common configuration of electrical interconnects,H01L 23/49827,H01L,23/49827,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
502,8987067,20150324,Segmented guard ring structures with electrically insulated gap structures and design structures thereof,H01L 29/0619,H01L,29/0619,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
503,8987068,20150324,Method for manufacturing display device,H01L 27/1292,H01L,27/1292,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
504,8987070,20150324,SOI device with embedded liner in box layer to limit STI recess,H01L 21/762,H01L,21/762,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
505,8987071,20150324,Thin film transistor and fabricating method,H01L 21/02603,H01L,21/02603,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
506,8987073,20150324,,H01L 29/786,H01L,29/786,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
507,8987075,20150324,Method for manufacturing a compound semiconductor device,H01L 29/0657,H01L,29/0657,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
508,8987078,20150324,Metal semiconductor alloy contact with low resistance,H01L 29/66477,H01L,29/66477,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
509,8987079,20150324,Method for developing a custom device,H01L 21/768,H01L,21/768,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
510,8987083,20150324,Uniform gate height for semiconductor structure with N and P type fins,H01L 29/66545,H01L,29/66545,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
511,8987084,20150324,High density low power nanowire phase change material memory device,H01L 2924/00,H01L,2924/00,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
512,8987085,20150324,Methods for improving uniformity of cap layers,H01L 21/76814,H01L,21/76814,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
513,8987086,20150324,MIM capacitor with lower electrode extending through a conductive layer to an STI,H01L 29/66181,H01L,29/66181,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
514,8987087,20150324,Three dimensional NAND device with birds beak containing floating gates and method of making thereof,H01L 27/11524,H01L,27/11524,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
515,8987089,20150324,,H01L 21/64,H01L,21/64,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
516,8987092,20150324,Methods for fabricating memory cells having fin structures with semicircular top surfaces and rounded top corners and edges,H01L 21/336,H01L,21/336,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
517,8987094,20150324,FinFET integrated circuits and methods for their fabrication,H01L 29/66795,H01L,29/66795,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
518,8987096,20150324,Semiconductor process,H01L 29/66477,H01L,29/66477,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
519,8987097,20150324,,H01L 21/0215,H01L,21/0215,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
520,8987098,20150324,Damascene word line,H01L 21/28,H01L,21/28,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
521,8987101,20150324,,H01L 29/785,H01L,29/785,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
522,8987103,20150324,,H01L 21/8238,H01L,21/8238,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
523,8987105,20150324,SiC semiconductor device and method of manufacturing the same,H01L 21/761,H01L,21/761,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
524,8987106,20150324,Semiconductor device manufacturing method,H01L 29/7835,H01L,29/7835,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
525,8987107,20150324,,H01L 28/40,H01L,28/40,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
526,8987109,20150324,Method for manufacturing bonded wafer and bonded SOI wafer,H01L 21/68764,H01L,21/68764,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
527,8987110,20150324,,H01L 21/823878,H01L,21/823878,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
528,8987113,20150324,Image sensor including multiple lenses and method of manufacture thereof,H01L 27/14625,H01L,27/14625,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
529,8987115,20150324,Epitaxial growth of silicon for layer transfer,H01L 21/76254,H01L,21/76254,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
530,8987117,20150324,Semiconductor optical integrated device and method for fabricating the same,H01L 29/06,H01L,29/06,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
531,8987118,20150324,Method of fabricating semiconductor device,H01L 21/0274,H01L,21/0274,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
532,8987119,20150324,Pillar devices and methods of making thereof,H01L 29/1606,H01L,29/1606,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
533,8987120,20150324,Flat panel display device comprising polysilicon thin film transistor and method of manufacturing the same,H01L 27/02675,H01L,27/02675,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
534,8987126,20150324,Integrated circuit and method for fabricating the same having a replacement gate structure,H01L 21/28185,H01L,21/28185,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
535,8987128,20150324,,H01L 21/768,H01L,21/768,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
536,8987131,20150324,,H01L 2224/48227,H01L,2224/48227,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
537,8987136,20150324,Semiconductor device and method for manufacturing local interconnect structure thereof,H01L 29/78,H01L,29/78,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
538,8987137,20150324,,H01L 21/76898,H01L,21/76898,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
539,8987142,20150324,,H01L 21/0337,H01L,21/0337,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
540,8987144,20150324,,H01L 21/823864,H01L,21/823864,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
541,8987579,20150324,Power converter,H01L 35/28,H01L,35/28,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
542,8987580,20150324,Thermoelectric devices and methods of manufacture,H01L 35/00,H01L,35/00,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
543,8987581,20150324,Solar thermoelectric cell with covering structure to provide thermal gradient,H01L 35/32,H01L,35/32,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
544,8987582,20150324,Solar cell apparatus,H01L 27/1422,H01L,27/1422,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
545,8987583,20150324,Variable optical density solar collector,H01L 31/052,H01L,31/052,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
546,8987585,20150324,Solar cell and method fabricating the same,H01L 31/18,H01L,31/18,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
547,8987587,20150324,,H01L 31/18,H01L,31/18,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
548,8987588,20150324,Method for fabricating solar cell,H01L 31/0352,H01L,31/0352,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
549,8987611,20150324,Electromagnetic shielding article,H01L 23/24,H01L,23/24,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
550,8987639,20150324,Electrostatic chuck with radiative heating,H01L 21/67103,H01L,21/67103,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
551,8987645,20150324,,H01L 21/67115,H01L,21/67115,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
552,8987649,20150324,,H01L 27/14643,H01L,27/14643,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
553,8987650,20150324,Front end module for optical receiver,H01L 31/02019,H01L,31/02019,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
554,8987651,20150324,Photodetector including photodiodes overlapped with each other,H01L 27/14652,H01L,27/14652,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
555,8987667,20150324,Systems and methods for image lag mitigation for buffered direct injection readout with current mirror,H01L 27/14649,H01L,27/14649,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
556,8987694,20150324,Semiconductor devices having a vertical diode and methods of manufacturing the same,H01L 45/04,H01L,45/04,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
557,8987696,20150324,Resistance change memory and method of manufacturing the same,H01L 45/06,H01L,45/06,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
558,8987697,20150324,Transition metal oxide bilayers,H01L 45/04,H01L,45/04,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
559,8987698,20150324,Memory constructions,H01L 45/04,H01L,45/04,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
560,8987699,20150324,Conductive bridge resistive memory device and method of manufacturing the same,H01L 45/085,H01L,45/085,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
561,8987700,20150324,Thermally confined electrode for programmable resistance memory,H01L 45/124,H01L,45/124,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
562,8987701,20150324,Phase transition memories and transistors,H01L 27/115,H01L,27/115,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
563,8987703,20150324,Quantum well device with lateral electrodes,H01L 43/065,H01L,43/065,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
564,8987704,20150324,Semiconductor light emitting structure,H01L 33/08,H01L,33/08,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
565,8987708,20150324,Optoelectronic component,H01L 51/0545,H01L,51/0545,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
566,8987709,20150324,,H01L 51/54,H01L,51/54,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
567,8987712,20150324,Display device,H01L 27/3262,H01L,27/3262,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
568,8987718,20150324,Dual mode display devices and methods of manufacturing the same,H01L 51/5203,H01L,51/5203,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
569,8987721,20150324,Organic electroluminescent element and lighting fixture,H01L 51/504,H01L,51/504,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
570,8987723,20150324,Display device and method of manufacturing the same,H01L 27/3262,H01L,27/3262,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
571,8987724,20150324,Organic photodiode provided with an active zone comprising means for promoting charge carrier collection and conduction,H01L 51/441,H01L,51/441,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
572,8987729,20150324,Semiconductor device and method of manufacturing the semiconductor device,H01L 27/088,H01L,27/088,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
573,8987730,20150324,Semiconductor device,H01L 27/01,H01L,27/01,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
574,8987731,20150324,Semiconductor device and method for manufacturing the same,H01L 29/7869,H01L,29/7869,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
575,8987733,20150324,Array substrate for flexible display device,H01L 27/1218,H01L,27/1218,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
576,8987736,20150324,,H01L 21/02425,H01L,21/02425,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
577,8987739,20150324,Semiconductor device and manufacturing method thereof,H01L 27/00,H01L,27/00,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
578,8987745,20150324,,H01L 27/124,H01L,27/124,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
579,8987748,20150324,,H01L 29/7835,H01L,29/7835,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
580,8987749,20150324,Light emitting diode and method for fabricating the same,H01L 31/143,H01L,31/143,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
581,8987750,20150324,,H01L 33/32,H01L,33/32,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
582,8987751,20150324,,H01L 27/1461,H01L,27/1461,H,1,H01L,SEMICONDUCTOR DEVICES,5,ELECTRICITY,Nucleonics,BASIC ELECTRIC ELEMENTS,SEMICONDUCTOR DEVICES,1
